"","gene","p.value","gene","count"
"167","ACA8_ARATH",0.228616354,"ACA8_ARATH",6
"168","ACA9_ARATH",0.229186798,"ACA9_ARATH",5
"169","ACAP1_ARATH",0.87760457,"ACAP1_ARATH",1
"170","ACBP_FRIAG",0.916501613,"ACBP_FRIAG",1
"171","ACBP_RICCO",0.275188213,"ACBP_RICCO",7
"172","ACBP1_ARATH",0.015060878,"ACBP1_ARATH",9
"173","ACBP2_ARATH",0.819146873,"ACBP2_ARATH",1
"174","ACBP3_ARATH",0.473585162,"ACBP3_ARATH",2
"175","ACBP4_ARATH",0.133375705,"ACBP4_ARATH",9
"176","ACBP5_ARATH",0.511066012,"ACBP5_ARATH",1
"177","ACBSY_ORYSJ",0.310561903,"ACBSY_ORYSJ",12
"178","ACC1_ORYSJ",0.029451543,"ACC1_ORYSJ",11
"179","ACC2_ORYSJ",0.040365925,"ACC2_ORYSJ",14
"180","ACCH1_ARATH",0.019220242,"ACCH1_ARATH",8
"181","ACCH2_ARATH",0.551343387,"ACCH2_ARATH",2
"182","ACCH3_ARATH",0.179206919,"ACCH3_ARATH",4
"183","ACCH4_ARATH",0.910300109,"ACCH4_ARATH",2
"184","ACCH7_ARATH",0.888446373,"ACCH7_ARATH",1
"185","ACCO_DIACA",0.452868038,"ACCO_DIACA",1
"186","ACCO_MUSAC",0.853687046,"ACCO_MUSAC",2
"187","ACCO1_ORYSI",0.019023523,"ACCO1_ORYSI",3
"188","ACCO5_ARATH",0.111073723,"ACCO5_ARATH",2
"189","ACD11_ARATH",0.090927108,"ACD11_ARATH",4
"190","ACDH_ARATH",0.506277396,"ACDH_ARATH",2
"191","ACER3_MOUSE",0.434014498,"ACER3_MOUSE",1
"192","ACET1_MAIZE",0.461164988,"ACET1_MAIZE",4
"193","ACET1_ORYSJ",0.492675094,"ACET1_ORYSJ",2
"194","ACFR2_ARATH",0.04647659,"ACFR2_ARATH",3
"195","ACFR2_MAIZE",0.496012256,"ACFR2_MAIZE",4
"196","ACH11_ARATH",0.51453838,"ACH11_ARATH",2
"197","ACINU_HUMAN",0.484518036,"ACINU_HUMAN",3
"198","ACL5_ARATH",0.43747836,"ACL5_ARATH",3
"199","ACLA2_ORYSJ",1,"ACLA2_ORYSJ",2
"200","ACLA3_ORYSJ",0.543304939,"ACLA3_ORYSJ",2
"201","ACLB1_ORYSJ",0.422878546,"ACLB1_ORYSJ",1
"202","ACMAT_VITLA",0.384143184,"ACMAT_VITLA",1
"203","ACO13_PONAB",0.614972281,"ACO13_PONAB",2
"204","ACOC_CUCMC",0.588752607,"ACOC_CUCMC",1
"205","ACOC_ORYSJ",0.042724771,"ACOC_ORYSJ",15
"206","ACOT8_HUMAN",0.632577606,"ACOT8_HUMAN",3
"207","ACOT8_RAT",0.077932927,"ACOT8_RAT",4
"208","ACOT9_HUMAN",0.583772964,"ACOT9_HUMAN",1
"209","ACOT9_MOUSE",0.54239868,"ACOT9_MOUSE",1
"210","ACOX1_ARATH",0.151051943,"ACOX1_ARATH",4
"211","ACOX2_ARATH",0.471312936,"ACOX2_ARATH",2
"212","ACOX2_CUCMA",1,"ACOX2_CUCMA",1
"213","ACOX3_ARATH",0.109909756,"ACOX3_ARATH",4
"214","ACOX4_ARATH",0.269416817,"ACOX4_ARATH",5
"215","ACP1_HORVU",0.552872584,"ACP1_HORVU",1
"216","ACP3_HORVU",0.083506265,"ACP3_HORVU",7
"217","ACP4_ARATH",0.000419569,"ACP4_ARATH",2
"218","ACPH_HUMAN",0.521200938,"ACPH_HUMAN",1
"219","ACPM1_ARATH",0.305414108,"ACPM1_ARATH",2
"220","ACPM2_ARATH",0.814723404,"ACPM2_ARATH",2
"221","ACR10_ARATH",0.567589604,"ACR10_ARATH",4
"222","ACR12_ARATH",0.606396168,"ACR12_ARATH",1
"223","ACR21_ORYSJ",0.408746284,"ACR21_ORYSJ",4
"224","ACR22_ORYSJ",0.469858797,"ACR22_ORYSJ",1
"225","ACR3_ARATH",0.440153879,"ACR3_ARATH",2
"226","ACR4_ARATH",0.089784335,"ACR4_ARATH",8
"227","ACR5_ARATH",0.799898241,"ACR5_ARATH",1
"228","ACR6_ARATH",0.43286068,"ACR6_ARATH",7
"229","ACR9_ARATH",0.380022688,"ACR9_ARATH",5
"230","ACS_ARATH",0.250920572,"ACS_ARATH",5
"231","ACSS_MAIZE",0.029229777,"ACSS_MAIZE",7
"232","ACT_PINCO",0.1760117,"ACT_PINCO",2
"233","ACT_SCHDU",0.387100552,"ACT_SCHDU",1
"234","ACT1_MAIZE",0.832213385,"ACT1_MAIZE",1
"235","ACT1_ORYSJ",0.849629949,"ACT1_ORYSJ",1
"236","ACT1_TOBAC",0.817029577,"ACT1_TOBAC",2
"237","ACT10_SOLTU",0.283389438,"ACT10_SOLTU",3
"238","ACT11_SOLTU",0.632423351,"ACT11_SOLTU",3
"239","ACT2_ORYSJ",0.01972983,"ACT2_ORYSJ",3
"240","ACT3_ORYSJ",0.153390895,"ACT3_ORYSJ",6
"241","ACT7_ARATH",0.909844794,"ACT7_ARATH",1
"242","ACT7_ORYSJ",0.39352661,"ACT7_ORYSJ",7
"243","ACTM_LYTPI",0.677398617,"ACTM_LYTPI",1
"244","ACY1_DICDI",0.465056154,"ACY1_DICDI",5
"245","ACY1_MOUSE",0.20797136,"ACY1_MOUSE",5
"246","ACY1_PIG",0.493032937,"ACY1_PIG",2
"247","ADAL_BOVIN",0.295441234,"ADAL_BOVIN",1
"248","ADAT1_HUMAN",1,"ADAT1_HUMAN",1
"249","ADAT3_MOUSE",0.365991043,"ADAT3_MOUSE",3
"250","ADC2_ORYSJ",0.002981903,"ADC2_ORYSJ",4
"251","ADCK1_HUMAN",0.588835809,"ADCK1_HUMAN",2
"252","ADCK1_MOUSE",1,"ADCK1_MOUSE",1
"253","ADCK4_DANRE",0.904878979,"ADCK4_DANRE",1
"254","ADCK4_RAT",0.859759798,"ADCK4_RAT",1
"255","ADCS_ORYSJ",0.157025844,"ADCS_ORYSJ",6
"256","ADF2_ORYSJ",0.195643186,"ADF2_ORYSJ",5
"257","ADF3_MAIZE",0.680573667,"ADF3_MAIZE",1
"258","ADF3_ORYSJ",0.834149692,"ADF3_ORYSJ",1
"259","ADF5_ORYSJ",5.77e-06,"ADF5_ORYSJ",5
"260","ADF7_ORYSJ",0.88969351,"ADF7_ORYSJ",1
"261","ADH1_MAIZE",0.079577001,"ADH1_MAIZE",2
"262","ADH2_MAIZE",0.655893298,"ADH2_MAIZE",2
"263","ADHL3_ARATH",0.024438935,"ADHL3_ARATH",6
"264","ADHL4_ARATH",0.386410951,"ADHL4_ARATH",2
"265","ADHL5_ARATH",0.813389834,"ADHL5_ARATH",1
