"","Group","nSpecies","S","alpha","Variance","Pvalue","FDR","ange","sorgh","NormScore.ange","NormScore.sorgh","ange.count","sorgh.count","ange.count.1","sorgh.count.1"
"8907","TGD2_ARATH",2,0.32747450029954,4.5271629778672,0.220888888888889,0.96683454802358,1,0.390381106,0.736999114,0.451503274622756,0.203445725976324,4,2,4,2
"8908","TGD3_ARATH",2,0.482147485952548,2.57142857142857,0.388888888888889,0.79494601209407,1,0.322933617,0.809971697,0.753538998003649,0.210755973901446,2,1,2,1
"8909","TGD4_ARATH",2,0.206388896774279,2.84705882352941,0.351239669421488,0.97111996807106,1,0.550549113,0.916467029,0.325548606294541,0.0872291872540178,3,1,3,1
"8910","TGFA1_HUMAN",1,0.0970542230640171,1,1,0.907506797,1,0.907506797,NA,0.0970542230640171,NA,1,NA,1,NA
"8911","TGHH_ORYSI",2,0.320469794348607,4.93877551020408,0.202479338842975,0.975383365277209,1,0.520242403,0.593572749,0.35643295440541,0.284506634291803,3,3,3,3
"8912","TGHH_ORYSJ",1,0.502786531313238,1.8,0.555555555555556,0.714238496065977,1,0.470396277,NA,0.502786531313238,NA,2,NA,2,NA
"8913","TGS1_RAT",2,0.242664864507545,2,0.5,0.914211858546965,1,1,0.615494217,0,0.48532972901509,1,1,1,1
"8914","TGT_HUMAN",2,1.11943549928398,2.57142857142857,0.388888888888889,0.347556176737258,1,0.222858172,0.330722067,1.50121970985581,0.73765128871214,1,2,1,2
"8915","TGT1_ARATH",2,0.27792676721117,2,0.5,0.892410328499731,1,0.725501065,0.790601844,0.320892738705836,0.234960795716504,1,1,1,1
"8916","TGT2_ARATH",2,1.54069744200758,2.57142857142857,0.388888888888889,0.171426737305326,1,0.078408968,0.250528255,1.6972113136083,1.38418357040685,2,1,2,1
"8917","TGT3B_ARATH",2,0.574954332302008,2,0.5,0.680802312529459,1,0.412819729,0.767079838,0.884744272836684,0.265164391767333,1,1,1,1
"8918","TGT4_ARATH",1,0.460182063910214,1,1,0.631168722,1,0.631168722,NA,0.460182063910214,NA,1,NA,1,NA
"8919","THA1_ARATH",2,0.344889562439124,4.5271629778672,0.220888888888889,0.960567127012246,1,0.760329118,0.347677871,0.182669259627233,0.507109865251014,2,4,2,4
"8920","THA2_ARATH",1,0.81956445711812,1.8,0.555555555555556,0.501553716320316,1,0.292483599,NA,0.81956445711812,NA,2,NA,2,NA
"8921","THADA_CHICK",2,0.459517173264065,2.57142857142857,0.388888888888889,0.811676398106658,1,0.768676097,0.373841592,0.263085598466317,0.655948748061814,1,2,1,2
"8922","THADA_HUMAN",1,0.873595626322197,1,1,0.417447861,1,0.417447861,NA,0.873595626322197,NA,1,NA,1,NA
"8923","THD1_ARATH",2,0.217947517088017,4.16443594646272,0.240128558310376,0.989466394747771,1,0.775941494,0.63999962,0.138369903256969,0.297525130919064,3,2,3,2
"8924","THF1_ORYSJ",2,0.525858866144407,6.09756097560976,0.164,0.901849880681934,1,0.269648113,0.414599969,0.629105978488179,0.422611753800635,4,4,4,4
"8925","THG1_ARATH",1,1.19614528940944,1,1,0.302357469,1,0.302357469,NA,1.19614528940944,NA,1,NA,1,NA
"8926","THG1_BOVIN",1,0,1,1,1,1,1,NA,0,NA,1,NA,1,NA
"8927","THG2_ARATH",2,1.06630385933205,2.57142857142857,0.388888888888889,0.377357619471499,1,0.288624895,0.271392418,0.828418250067596,1.30418946859651,2,1,2,1
"8928","THH1_ARATH",1,2.50208517944192,1,1,0.081914015,1,0.081914015,NA,2.50208517944192,NA,1,NA,1,NA
"8929","THI41_SORBI",2,0.985008983107478,2.57142857142857,0.388888888888889,0.426407879068788,1,0.414599416,0.195076553,0.880442487568039,1.08957547864692,1,2,1,2
"8930","THI42_SORBI",2,1.53134109282809,6.09756097560976,0.164,0.103288326378917,1,0.708293145,0.002391844,0.165550667698508,2.89713151795767,4,4,4,4
