"","gene","p.value","gene","count"
"161","AB6B_ARATH",0.747453516,"AB6B_ARATH",2
"162","AB6C_ARATH",0.424567397,"AB6C_ARATH",3
"163","AB6I_ARATH",0.26264999,"AB6I_ARATH",6
"164","AB7A_ARATH",0.545949544,"AB7A_ARATH",2
"165","AB7B_ARATH",0.619966301,"AB7B_ARATH",1
"166","AB7G_ARATH",0.196657661,"AB7G_ARATH",3
"167","AB7I_ARATH",0.940314585,"AB7I_ARATH",1
"168","AB8C_ARATH",0.24377644,"AB8C_ARATH",6
"169","AB8I_ARATH",0.123016066,"AB8I_ARATH",3
"170","AB9B_ARATH",0.036983573,"AB9B_ARATH",3
"171","AB9C_ARATH",0.491117682,"AB9C_ARATH",2
"172","ABA2_NICPL",0.586598033,"ABA2_NICPL",3
"173","ABAH1_ORYSJ",0.11899851,"ABAH1_ORYSJ",4
"174","ABAH3_ORYSI",0.834876925,"ABAH3_ORYSI",1
"175","ABAH3_ORYSJ",0.495362077,"ABAH3_ORYSJ",2
"176","ABD18_RAT",1,"ABD18_RAT",1
"177","ABHD3_HUMAN",0.222312396,"ABHD3_HUMAN",1
"178","ABHDB_HUMAN",0.352491831,"ABHDB_HUMAN",1
"179","ABIL1_ORYSJ",0.49439157,"ABIL1_ORYSJ",2
"180","ABIL3_ORYSJ",0.688964114,"ABIL3_ORYSJ",1
"181","ABIL4_ORYSJ",0.298763641,"ABIL4_ORYSJ",1
"182","ABP4_MAIZE",0.325422147,"ABP4_MAIZE",4
"183","ABP5_MAIZE",0.545919187,"ABP5_MAIZE",1
"184","ACA1_ORYSJ",0.205800766,"ACA1_ORYSJ",12
"185","ACA10_ARATH",0.906022837,"ACA10_ARATH",2
"186","ACA2_ARATH",0.416755274,"ACA2_ARATH",1
"187","ACA2_ORYSJ",0.108946764,"ACA2_ORYSJ",7
"188","ACA4_ORYSJ",0.291370534,"ACA4_ORYSJ",4
"189","ACA5_ORYSJ",0.573759536,"ACA5_ORYSJ",1
"190","ACA6_ORYSJ",0.086604524,"ACA6_ORYSJ",6
"191","ACA8_ARATH",0.631709494,"ACA8_ARATH",6
"192","ACA9_ARATH",0.17113656,"ACA9_ARATH",2
"193","ACAP1_ARATH",0.306904684,"ACAP1_ARATH",3
"194","ACBP_RICCO",0.00955762,"ACBP_RICCO",10
"195","ACBP1_ARATH",0.178044736,"ACBP1_ARATH",8
"196","ACBP2_ARATH",0.850714991,"ACBP2_ARATH",1
"197","ACBP4_ARATH",0.199332112,"ACBP4_ARATH",7
"198","ACBP5_ARATH",0.809205133,"ACBP5_ARATH",2
"199","ACBSY_ORYSJ",0.024755292,"ACBSY_ORYSJ",17
"200","ACC1_ORYSJ",0.782463215,"ACC1_ORYSJ",4
"201","ACC2_ORYSJ",0.726784748,"ACC2_ORYSJ",6
"202","ACCH1_ARATH",0.211907847,"ACCH1_ARATH",6
"203","ACCH2_ARATH",0.652550323,"ACCH2_ARATH",2
"204","ACCH3_ARATH",0.513784233,"ACCH3_ARATH",4
"205","ACCH4_ARATH",0.933552127,"ACCH4_ARATH",2
"206","ACCO_MUSAC",0.662717694,"ACCO_MUSAC",2
"207","ACCO1_DORSP",0.390280917,"ACCO1_DORSP",1
"208","ACCO1_MALDO",0.463170176,"ACCO1_MALDO",1
"209","ACCO1_ORYSI",0.071955339,"ACCO1_ORYSI",3
"210","ACD11_ARATH",0.315924952,"ACD11_ARATH",3
"211","ACD6_ARATH",0.451139412,"ACD6_ARATH",2
"212","ACDH_ARATH",0.532665231,"ACDH_ARATH",1
"213","ACEA_ORYSJ",0.637470889,"ACEA_ORYSJ",1
"214","ACER3_MOUSE",0.285968552,"ACER3_MOUSE",1
"215","ACET1_MAIZE",1,"ACET1_MAIZE",1
"216","ACET1_ORYSJ",0.310214751,"ACET1_ORYSJ",2
"217","ACFR1_ARATH",0.811339141,"ACFR1_ARATH",1
"218","ACFR2_ARATH",0.644121933,"ACFR2_ARATH",1
"219","ACFR2_MAIZE",0.298492765,"ACFR2_MAIZE",4
"220","ACH11_ARATH",0.276495908,"ACH11_ARATH",5
"221","ACINU_HUMAN",0.709638334,"ACINU_HUMAN",1
"222","ACINU_MOUSE",0.700972061,"ACINU_MOUSE",1
"223","ACL5_ARATH",0.848397374,"ACL5_ARATH",4
"224","ACLA1_ORYSJ",0.307241621,"ACLA1_ORYSJ",4
"225","ACLA2_ORYSJ",0.607336004,"ACLA2_ORYSJ",1
"226","ACLA3_ORYSJ",0.677089591,"ACLA3_ORYSJ",2
"227","ACLB1_ORYSJ",0.353388747,"ACLB1_ORYSJ",2
"228","ACMAT_VITLA",0.216391962,"ACMAT_VITLA",2
"229","ACO1_ARATH",1,"ACO1_ARATH",1
"230","ACO13_MOUSE",0.385499116,"ACO13_MOUSE",2
"231","ACO13_PONAB",0.342020806,"ACO13_PONAB",2
"232","ACO2M_ARATH",0.691115267,"ACO2M_ARATH",1
"233","ACOC_CUCMA",0.084566375,"ACOC_CUCMA",3
"234","ACOC_CUCMC",0.238924626,"ACOC_CUCMC",1
"235","ACOC_ORYSJ",0.174530148,"ACOC_ORYSJ",12
"236","ACOT8_RAT",0.384767878,"ACOT8_RAT",4
"237","ACOT9_MOUSE",0.921156901,"ACOT9_MOUSE",1
"238","ACOX1_ARATH",0.274627575,"ACOX1_ARATH",6
"239","ACOX2_ARATH",0.435900207,"ACOX2_ARATH",4
"240","ACOX2_CUCMA",0.604229076,"ACOX2_CUCMA",2
"241","ACOX3_ARATH",0.835799675,"ACOX3_ARATH",2
"242","ACOX4_ARATH",0.001914189,"ACOX4_ARATH",5
"243","ACP1_HORVU",0.454961101,"ACP1_HORVU",3
"244","ACP3_HORVU",0.110448328,"ACP3_HORVU",8
"245","ACP4_ARATH",0.095259175,"ACP4_ARATH",5
"246","ACPH_BOVIN",0.917794719,"ACPH_BOVIN",1
"247","ACPH_PIG",0.756709344,"ACPH_PIG",1
"248","ACPH_RAT",0.177266763,"ACPH_RAT",1
"249","ACPM1_ARATH",0.386978371,"ACPM1_ARATH",1
"250","ACPM2_ARATH",0.48322353,"ACPM2_ARATH",2
"251","ACR10_ARATH",0.672420481,"ACR10_ARATH",2
"252","ACR12_ARATH",0.179180634,"ACR12_ARATH",4
"253","ACR21_ORYSJ",0.02322011,"ACR21_ORYSJ",8
"254","ACR22_ORYSJ",0.483026636,"ACR22_ORYSJ",1
"255","ACR3_ARATH",0.021290963,"ACR3_ARATH",3
"256","ACR4_ARATH",0.203029715,"ACR4_ARATH",19
"257","ACR5_ARATH",0.454937315,"ACR5_ARATH",1
"258","ACR6_ARATH",0.155305646,"ACR6_ARATH",5
"259","ACR8_ARATH",0.137939361,"ACR8_ARATH",2
"260","ACR9_ARATH",0.703967919,"ACR9_ARATH",5
"261","ACS_ARATH",0.67294972,"ACS_ARATH",6
"262","ACSS_MAIZE",0.007612405,"ACSS_MAIZE",13
"263","ACT1_MAIZE",0.110469065,"ACT1_MAIZE",4
"264","ACT1_ORYSJ",0.301597398,"ACT1_ORYSJ",2
"265","ACT1_TOBAC",0.902306046,"ACT1_TOBAC",1
"266","ACT10_SOLTU",0.072795178,"ACT10_SOLTU",2
"267","ACT11_SOLTU",0.527975115,"ACT11_SOLTU",6
"268","ACT2_ORYSJ",0.005282038,"ACT2_ORYSJ",4
"269","ACT3_ARATH",0.645669671,"ACT3_ARATH",1
"270","ACT3_ORYSJ",0.147949402,"ACT3_ORYSJ",8
"271","ACT7_ARATH",0.499462647,"ACT7_ARATH",8
"272","ACT7_ORYSJ",0.303255802,"ACT7_ORYSJ",8
"273","ACT7_TOBAC",0.539641988,"ACT7_TOBAC",1
"274","ACTM_LYTPI",0.267493573,"ACTM_LYTPI",2
"275","ACY1_DICDI",0.238687851,"ACY1_DICDI",3
"276","ACY1_HUMAN",0.252432257,"ACY1_HUMAN",1
"277","ACY1_MOUSE",0.43382344,"ACY1_MOUSE",2
"278","ACY1_PIG",0.354334075,"ACY1_PIG",3
"279","ACYP_SPHWW",0.541608917,"ACYP_SPHWW",2
"280","ADAL_BOVIN",0.825874185,"ADAL_BOVIN",2
"281","ADAL_HUMAN",0.443629007,"ADAL_HUMAN",1
"282","ADAT3_DANRE",0.663919764,"ADAT3_DANRE",1
"283","ADAT3_MOUSE",0.750136457,"ADAT3_MOUSE",2
"284","ADC2_ORYSJ",0.033352393,"ADC2_ORYSJ",3
"285","ADCK1_HUMAN",0.454708086,"ADCK1_HUMAN",2
"286","ADCK1_XENLA",1,"ADCK1_XENLA",1
"287","ADCK1_XENTR",0.066548553,"ADCK1_XENTR",3
"288","ADCK2_HUMAN",0.857046208,"ADCK2_HUMAN",1
"289","ADCK4_RAT",0.540282415,"ADCK4_RAT",1
"290","ADCS_ORYSJ",0.016437956,"ADCS_ORYSJ",3
"291","ADEP_ECOLI",1,"ADEP_ECOLI",1
"292","ADF2_ORYSJ",0.236023894,"ADF2_ORYSJ",6
"293","ADF3_MAIZE",0.428650143,"ADF3_MAIZE",2
"294","ADF3_ORYSJ",1,"ADF3_ORYSJ",1
"295","ADF5_ORYSJ",1.36e-08,"ADF5_ORYSJ",6
"296","ADF7_ORYSJ",0.821892217,"ADF7_ORYSJ",1
"297","ADH1_MAIZE",0.355506599,"ADH1_MAIZE",1
"298","ADH2_MAIZE",0.407647278,"ADH2_MAIZE",4
"299","ADHL3_ARATH",0.095857108,"ADHL3_ARATH",3
"300","ADHL4_ARATH",0.235420296,"ADHL4_ARATH",2
"301","ADHL5_ARATH",0.491977686,"ADHL5_ARATH",3
