"","gene","dr7","dr8","ww8","ww9"
"258","ADF3_ORYSJ",5.546,0,3.302,5.745
"259","ADF5_ORYSJ",10.2646,17.151,9.3516,11.6764
"260","ADF7_ORYSJ",91.767,166.087,145.401,120.449
"261","ADH1_MAIZE",15.0565,13.2995,15.1125,12.1405
"262","ADH2_MAIZE",10.5495,2.636,9.1845,11.0315
"263","ADHL3_ARATH",8.35616666666667,17.9453333333333,16.8783333333333,13.5151666666667
"264","ADHL4_ARATH",41.047,84.6095,48.614,42.177
"265","ADHL5_ARATH",13.54,3.217,9.282,4.035
"266","ADHL6_ARATH",6.492,6.671,4.82,5.589
"267","ADHL7_ARATH",5.1795,1.501,2.159,6.879
"268","ADHX_MAIZE",17.971,19.7095,18.05575,17.29
"269","ADIP_HUMAN",17.426,12.879,12.779,11.061
"270","ADK1_ARATH",6.575,0,4.882,4.25
"271","ADK2_ARATH",29.417,41.36,46.778,35.186
"272","ADLO1_ARATH",9.55371428571429,5.74857142857143,7.28057142857143,7.36728571428571
"273","ADNT1_ARATH",26.077,29.2721666666667,22.0113333333333,22.2343333333333
"274","ADO1_ORYSJ",10.0995882352941,11.9521764705882,9.16047058823529,10.2171764705882
"275","ADO2_ORYSJ",12.802,17.052,9.4726,14.5628
"276","ADO3_ORYSJ",11.61125,2.098,7.25875,6.5415
"277","ADPO3_ORYSJ",10.913,11.131,8.67675,11.271
"278","ADPRM_ORYSJ",6.55666666666667,8.83733333333333,9.86966666666667,6.895
"279","ADT1_MAIZE",39.109,24.36,37.978,39.124
"280","ADT2_MAIZE",18.989,29.8905,22.8915,24.5545
"281","ADT3_ARATH",48.068,25.92,35.363,33.407
"282","ADT5_ARATH",4.572,14.929,9.9535,8.0415
"283","AE7_ARATH",13.893,19.292,14.553,21.164
"284","AEE18_ARATH",10.8695,7.376,7.887,10.1275
"285","AEE19_ARATH",3.5705,5.961,5.2615,3.708
"286","AEE21_ARATH",5.147,0,1.528,9.302
"287","AEE7_ARATH",9.8675,13.3205,7.169,16.5035
"288","AEL1_ARATH",5.876,4.5236,6.2068,7.6706
"289","AFC1_ARATH",7.6159,6.2782,7.1587,7.0724
"290","AFC2_ARATH",9.52757142857143,8.63080952380952,7.26228571428571,8.01
"291","AFC3_ARATH",5.04166666666667,2.67566666666667,4.246,3.79433333333333
"292","AFR_ARATH",16.545,16.2795,17.7685,19.425
"293","AG10A_HUMAN",3.886,9.017,4.318,3.752
"294","AGAL_ORYSJ",8.5768,12.8234,11.2798,9.4642
"295","AGAL1_ARATH",12.633,5.7308,5.807,5.4542
"296","AGAL3_ARATH",27.479,76.516,23.6506666666667,33.6876666666667
"297","AGD11_ARATH",3.07,0,3.856,1.671
"298","AGD12_ARATH",5.48,7.92377777777778,4.65522222222222,6.02444444444444
"299","AGD14_ARATH",11.3628,9.7592,10.9392,9.5522
"300","AGD2_ARATH",7.58933333333333,5.83533333333333,4.15033333333333,5.755
"301","AGD3_ARATH",7.985,2.722,5.538,5.833
"302","AGD5_ARATH",9.58671428571429,9.66071428571428,8.04814285714286,9.11785714285714
"303","AGD6_ARATH",11.701,13.8263333333333,12.8646666666667,12.5066666666667
"304","AGD8_ARATH",12.9063333333333,17.058,10.068,12.878
"305","AGD9_ARATH",5.054,7.855,7.21,9.185
"306","AGL2_BACTQ",8.872,11.7173333333333,8.841,9.41266666666667
"307","AGLU_ORYSJ",9.487,9.286,12.195,12.829
"308","AGLUP_ARATH",5.175,3.5775,3.641,5.423
"309","AGM1_ORYSJ",17.868,11.8966666666667,19.1653333333333,12.3603333333333
"310","AGO1_ARATH",5.889,3.088,6.472,11.198
"311","AGO13_ORYSJ",16.972,6.972,3.364,13.191
"312","AGO16_ORYSJ",6.266,6.671,5.15866666666667,6.094
"313","AGO1A_ORYSJ",19.233,25.1078333333333,17.5241666666667,22.1235
