"","gene","adr7","adr8","aww7","aww8"
"9559","URIC2_SOYBN",6.7705,7.1,5.7215,9.3365
"9560","URM1_MAIZE",5.4125,4.5195,4.208,5.373
"9561","URT1_ARATH",22.461,13.397,20.377,16.178
"9562","URT1_FRAAN",7.1046,8.8564,7.1766,10.652
"9563","USB1_DANRE",3.443,5.944,7.846,2.956
"9564","USF_AQUPY",45.391,38.242,39.169,42.113
"9565","USH1G_HUMAN",4.842,8.01,10.386,9.855
"9566","USP_CUCME",10.291,5.879,11.484,5.931
"9567","USP_ORYSI",5.32525,5.036,5.6435,5.9625
"9568","USPAL_ARATH",10.2030769230769,14.6625384615385,21.9297692307692,14.2112307692308
"9569","UTP11_ORYSJ",7.926,7.978,12.894,9.288
"9570","UTP14_YEAST",8.533,4.305,9.235,7.761
"9571","UTP18_ARATH",6.0265,4.79966666666667,7.3125,5.26366666666667
"9572","UTP20_HUMAN",8.09166666666667,5.76133333333333,5.99766666666667,7.327
"9573","UTP20_MOUSE",12.933,6.5,7.079,11.744
"9574","UTP20_YEAST",5.066,3.05233333333333,2.46333333333333,3.72533333333333
"9575","UTP23_HUMAN",4.814,3.759,5.711,4.629
"9576","UTP25_AJEDS",5.284,4.391,1.544,4.081
"9577","UTP4_YEAST",4.9665,3.9195,4.882,3.6115
"9578","UTP6_SCHPO",5.606,0,4.602,1.625
"9579","UTP7_SCHPO",10.899,8.01,12.003,5.295
"9580","UTR3_ARATH",6.7845,3.695,9.043,9.214
"9581","UTR5_ARATH",5.348,4.476,5.224,4.717
"9582","UTR5B_ARATH",10.862,6.64,5.369,8.544
"9583","UVB31_ARATH",60.7365,77.381625,96.8355,65.22775
"9584","UVH3_ARATH",3.6775,4.412,3.6275,3.665
"9585","UVR3_ORYSJ",2.96581818181818,3.48736363636364,4.62472727272727,3.582
"9586","UVR8_ARATH",18.4148947368421,21.8647894736842,23.4846842105263,20.6342105263158
"9587","UVRAG_MOUSE",3.636,3.256,2.27,0.666
"9588","UVSSA_ARATH",5.603,4.309,5.14433333333333,6.26366666666667
"9589","UXS1_ARATH",4.72485714285714,3.297,4.851,3.67842857142857
"9590","UXS2_ARATH",9.214,15.614,14.511,9.043
"9591","UXS4_ARATH",10.3355,12.2984,11.532,11.1501
"9592","UXS6_ARATH",11.235,16.8935,11.1995,9.9875
"9593","UXT_DICDI",7.1615,4.1445,6.255,3.817
"9594","V246_FOWPN",7.06,4.883,3.452,6.068
"9595","VA0D_ORYSJ",22.6035,22.01825,30.426,26.7985
"9596","VA0E1_ARATH",8.8186,9.9532,14.225,12.1944
"9597","VA711_ARATH",6.439,13.199,7.7585,8.9745
"9598","VA713_ARATH",6.4395,0,5.83,4.086
"9599","VA714_ARATH",6.665,5.237,9.961,8.025
"9600","VA721_ARATH",38.8706666666667,35.9896666666667,36.657,37.304
"9601","VA724_ARATH",8.607,4.969,7.452,9.415
"9602","VA725_ARATH",13.435,27.26,15.6825,27.736
"9603","VA727_ARATH",9.33175,14.40375,8.139,11.01275
"9604","VAB_ARATH",5.79,0,7.525,6.645
"9605","VAC14_ARATH",19.8493333333333,15.507,14.701,13.3033333333333
"9606","VAC8_CANGA",4.023,5.622,6.364,2.339
"9607","VAD1_ARATH",3.84466666666667,3.75533333333333,3.10266666666667,4.76633333333333
"9608","VAP11_ARATH",4.9801,2.053,4.1419,4.1858
"9609","VAP12_ARATH",9.8791,8.5523,11.7155,11.8028
"9610","VAP13_ARATH",6.347,4.696,5.43125,7.8465
"9611","VAP14_ARATH",2.605,0,0,0.969
"9612","VAP21_ARATH",1.51866666666667,3.93366666666667,3.47933333333333,2.87066666666667
"9613","VAP22_ARATH",28.297,36.299,27.8145,33.481
"9614","VAP31_ARATH",4.246,2.0065,4.155125,3.87925
"9615","VAP41_ARATH",18.79025,19.55225,17.09175,17.046
"9616","VAP42_ARATH",4.469,3.0575,3.374,4.0815
"9617","VAR3_ARATH",9.55725,9.6675,10.4815,9.64225
"9618","VATA_DAUCA",51.7615,53.385,46.6475,52.335
"9619","VATA_MAIZE",26.914,30.461,26.68575,27.053125
"9620","VATB1_HORVU",28.8744285714286,19.0835714285714,28.2828571428571,26.1504285714286
"9621","VATB2_HORVU",15.17,12.573,17.797,18.115
"9622","VATC_ARATH",7.03566666666667,6.37733333333333,8.39216666666667,7.56366666666667
"9623","VATC_HORVU",6.2448,8.0491,5.0508,7.6318
"9624","VATD_ARATH",21.49875,27.49825,23.00775,24.70425
"9625","VATE_CITLI",28.8646666666667,28.697,27.688,30.2573333333333
"9626","VATF_ARATH",11.2948571428571,14.6132857142857,17.3522857142857,16.3858571428571
"9627","VATG_CITLI",29.9756666666667,34.1086666666667,39.0413333333333,39.0753333333333
"9628","VATG1_TOBAC",40.457,34.628,45.4085,40.9385
"9629","VATH_ORYSJ",21.474,23.7038,21.754,25.8
"9630","VATL_AVESA",66.198,50.3223333333333,51.7033333333333,57.0996666666667
"9631","VATL_GOSHI",119.033,68.474,91.927,92.153
"9632","VATL_KALDA",66.168,69.278,55.577,81.945
"9633","VATL_ORYSJ",32.0275,34.3765,31.7865,36.96725
"9634","VATO1_ARATH",45.465,28.015,52.892,47.368
"9635","VATO2_ARATH",18.42,38.724,17.745,26.356
"9636","VBF_ARATH",9.0535,7.668,11.3805,9.7625
"9637","VCL1_ARATH",3.87157142857143,6.00942857142857,3.84685714285714,3.62414285714286
"9638","VCR_ARATH",3.498,10.3775,2.726,6.3325
"9639","VCS_ARATH",12.7035,8.294,10.4895,10.624
"9640","VDAC_MAIZE",7.254,5.001,3.089,6.312
"9641","VDAC1_ORYSJ",18.8755,19.5065,22.948,16.525
"9642","VDAC2_ORYSJ",8.65,11.7211666666667,7.853,9.71333333333333
"9643","VDAC5_ORYSJ",16.316,12.6365,14.506,16.236
"9644","VDAC6_ORYSJ",8.009,5.333,9.484,9.885
"9645","VDE_ARATH",6.591,5.4615,14.138,4.7075
"9646","VDE_SPIOL",6.085,12.037,12.858,5.662
"9647","VDE_TOBAC",7.272,15.432,10.448,10.3985
"9648","VDLC_HELPY",11.286,0,11.122,4.199
"9649","VESTR_MEDSA",21.016,14.361,17.911,12.508
"9650","VGA_BPS13",135.005,231.222,131.458,143.455
"9651","VHAA1_ARATH",7.3532,7.0016,3.8578,5.7214
"9652","VHAA2_ARATH",10.3346666666667,18.8086666666667,11.733,10.462
"9653","VHAA3_ARATH",20.34825,24.99,24.578,23.06
"9654","VIAF1_DROME",14.1255,8.1335,11.6965,14.1615
"9655","VICTR_ARATH",4.888,0.728,5.089,5.353
"9656","VIL1_ARATH",9.89042857142857,8.94671428571429,10.4861428571429,8.97328571428571
"9657","VIL2_ARATH",6.85988888888889,5.89122222222222,6.96877777777778,5.02822222222222
"9658","VILI2_ARATH",14.818,11.973,11.93,13.212
"9659","VILI3_ARATH",6.849,5.162,4.343,4.453
"9660","VILI4_ARATH",3.92285714285714,3.90128571428571,5.43714285714286,5.25414285714286
"9661","VILI5_ARATH",5.7185,3.0815,7.595,7.44775
"9662","VIP1_ARATH",10.2946666666667,10.9733333333333,12.0786666666667,11.6723333333333
"9663","VIP1_DROME",1.74,3.416,0.871,1.585
"9664","VIP1_HUMAN",6.085,11.923,9.325,8.09366666666667
"9665","VIP1_MOUSE",2.301,4.83,1.638,1.439
